casa,data,temperatura_appartamento,stato_luce1,stato_luce2,stato_luce3,energia_consumata_giornaliera_appartamento,potenza_istantanea_consumata_appartamento,guasto
casa1,202603241920,40.0,1,0,1,2669,69,
casa1,202603241925,39.8,1,1,0,2680,136,
casa1,202603241930,40.0,1,0,1,2700,238,
casa1,202603241935,40.0,0,0,1,2713,165,
casa1,202603241940,40.0,1,1,1,2715,23,
casa1,202603241945,40.0,1,0,0,2723,91,
casa1,202603241950,39.8,0,0,0,2736,162,
casa1,202603241955,39.7,0,1,1,2753,200,
casa1,202603242000,39.8,0,0,0,2761,100,
casa1,202603242005,40.0,1,0,1,2776,175,
casa1,202603242010,40.0,0,0,0,2784,93,
casa1,202603242015,40.0,0,0,0,2787,41,
casa1,202603242020,40.0,1,0,1,2795,97,
casa1,202603242025,40.0,0,0,1,2803,92,
casa1,202603242030,40.0,1,0,1,2816,151,
casa1,202603242035,40.0,1,1,0,2827,141,
casa1,202603242040,40.0,1,1,0,2834,79,
casa1,202603242045,40.0,1,1,1,2851,203,
casa1,202603242050,39.9,0,0,1,2853,25,
casa1,202603242055,40.0,0,0,1,2858,56,
casa1,202603242100,39.7,0,1,1,2875,209,
casa1,202603242105,39.3,0,0,1,2895,244,
casa1,202603242110,39.1,1,1,1,2899,49,
casa1,202603242115,38.3,0,1,1,2908,103,
casa1,202603242120,37.5,0,1,0,2920,142,
casa1,202603242125,36.7,1,1,1,2927,83,
casa1,202603242130,35.8,0,0,1,2946,229,
casa1,202603242135,35.2,1,0,1,2958,143,
casa1,202603242140,34.4,1,1,1,2964,70,
casa1,202603242145,34.7,1,1,0,2974,127,
casa1,202603242150,34.9,1,0,0,2988,170,
casa1,202603242155,35.2,1,0,1,2995,77,
casa1,202603242200,34.6,0,0,0,2998,38,
